StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612C00085000,85.0,2015-06-12,Call,41.11,41.15,42.75,10,10,12:37
AAPL,AAPL150612C00100000,100.0,2015-06-12,Call,27.50,27.30,27.80,58,455,12:37
AAPL,AAPL150612C00105000,105.0,2015-06-12,Call,22.70,21.60,22.75,1,21,12:37
AAPL,AAPL150612C00110000,110.0,2015-06-12,Call,18.00,17.50,17.70,33,54,12:37
AAPL,AAPL150612C00112000,112.0,2015-06-12,Call,15.98,15.20,15.80,10,10,12:37
AAPL,AAPL150612C00113000,113.0,2015-06-12,Call,14.61,14.50,14.70,15,72,12:37
AAPL,AAPL150612C00114000,114.0,2015-06-12,Call,14.00,13.35,13.75,1,29,12:37
AAPL,AAPL150612C00115000,115.0,2015-06-12,Call,12.52,12.50,12.75,8,509,12:37
AAPL,AAPL150612C00116000,116.0,2015-06-12,Call,12.70,11.35,11.70,70,193,12:37
AAPL,AAPL150612C00117000,117.0,2015-06-12,Call,11.89,10.65,10.75,13,279,12:37
AAPL,AAPL150612C00118000,118.0,2015-06-12,Call,9.60,9.65,9.75,71,426,12:37
AAPL,AAPL150612C00119000,119.0,2015-06-12,Call,8.40,8.60,8.70,213,104,12:37
AAPL,AAPL150612C00120000,120.0,2015-06-12,Call,7.70,7.65,7.70,345,2111,12:37
AAPL,AAPL150612C00121000,121.0,2015-06-12,Call,6.65,6.65,6.75,80,389,12:37
AAPL,AAPL150612C00122000,122.0,2015-06-12,Call,5.70,5.60,5.75,120,483,12:37
AAPL,AAPL150612C00123000,123.0,2015-06-12,Call,4.60,4.60,4.75,75,1096,12:37
AAPL,AAPL150612C00124000,124.0,2015-06-12,Call,3.60,3.60,3.75,383,1742,12:37
AAPL,AAPL150612C00125000,125.0,2015-06-12,Call,2.71,2.68,2.71,2825,4824,12:37
AAPL,AAPL150612C00126000,126.0,2015-06-12,Call,1.78,1.77,1.80,3571,5183,12:37
AAPL,AAPL150612C00127000,127.0,2015-06-12,Call,0.79,0.78,0.82,17274,6560,12:37
AAPL,AAPL150612C00128000,128.0,2015-06-12,Call,0.13,0.11,0.14,40546,12689,12:37
AAPL,AAPL150612C00129000,129.0,2015-06-12,Call,0.03,0.02,0.03,27717,27446,12:37
AAPL,AAPL150612C00130000,130.0,2015-06-12,Call,0.01,0.00,0.01,10404,42371,12:37
AAPL,AAPL150612C00131000,131.0,2015-06-12,Call,0.01,0.00,0.01,4566,34014,12:37
AAPL,AAPL150612C00132000,132.0,2015-06-12,Call,0.01,0.00,0.01,3768,21968,12:37
AAPL,AAPL150612C00133000,133.0,2015-06-12,Call,0.01,0.00,0.01,410,50887,12:37
AAPL,AAPL150612C00134000,134.0,2015-06-12,Call,0.01,0.00,0.01,237,12156,12:37
AAPL,AAPL150612C00135000,135.0,2015-06-12,Call,0.01,0.00,0.01,9,14998,12:37
AAPL,AAPL150612C00136000,136.0,2015-06-12,Call,0.01,0.00,0.01,2,8942,12:37
AAPL,AAPL150612C00137000,137.0,2015-06-12,Call,0.01,0.00,0.01,17,11089,12:37
AAPL,AAPL150612C00138000,138.0,2015-06-12,Call,0.01,0.00,0.01,5,6901,12:37
AAPL,AAPL150612C00139000,139.0,2015-06-12,Call,0.01,0.00,0.01,24,1835,12:37
AAPL,AAPL150612C00140000,140.0,2015-06-12,Call,0.01,0.00,0.01,125,5010,12:37
AAPL,AAPL150612C00141000,141.0,2015-06-12,Call,0.01,0.00,0.01,500,1496,12:37
AAPL,AAPL150612C00142000,142.0,2015-06-12,Call,0.01,0.00,0.01,2,463,12:37
AAPL,AAPL150612C00143000,143.0,2015-06-12,Call,0.01,0.00,0.01,179,340,12:37
AAPL,AAPL150612C00144000,144.0,2015-06-12,Call,0.01,0.00,0.01,20,161,12:37
