StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
FSLR,FSLR150612C00045000,45.0,2015-06-12,Call,4.45,4.95,5.95,12,38,18:59:02.288000
FSLR,FSLR150612C00045500,45.5,2015-06-12,Call,5.55,4.45,5.45,4,4,18:59:02.311000
FSLR,FSLR150612C00046000,46.0,2015-06-12,Call,5.05,3.95,4.95,9,9,18:59:02.346000
FSLR,FSLR150612C00046500,46.5,2015-06-12,Call,3.55,3.45,4.45,1,5,18:59:02.392000
FSLR,FSLR150612C00047000,47.0,2015-06-12,Call,4.30,2.98,3.95,1,1,18:59:02.452000
FSLR,FSLR150612C00047500,47.5,2015-06-12,Call,3.95,2.49,3.45,2,2,18:59:02.521000
FSLR,FSLR150612C00048000,48.0,2015-06-12,Call,2.32,2.11,2.94,9,38,18:59:02.611000
FSLR,FSLR150612C00048500,48.5,2015-06-12,Call,2.40,1.67,2.47,1,3,18:59:02.717000
FSLR,FSLR150612C00049000,49.0,2015-06-12,Call,2.20,1.39,1.94,370,351,18:59:02.833000
FSLR,FSLR150612C00049500,49.5,2015-06-12,Call,1.26,1.05,1.16,868,735,18:59:02.971000
FSLR,FSLR150612C00050000,50.0,2015-06-12,Call,0.79,0.69,0.80,71,1439,18:59:03.110000
FSLR,FSLR150612C00050500,50.5,2015-06-12,Call,0.71,0.43,0.51,18,1004,18:59:03.273000
FSLR,FSLR150612C00051000,51.0,2015-06-12,Call,0.35,0.25,0.32,272,850,18:59:03.409000
FSLR,FSLR150612C00051500,51.5,2015-06-12,Call,0.25,0.16,0.20,249,669,18:59:03.526000
FSLR,FSLR150612C00052000,52.0,2015-06-12,Call,0.24,0.07,0.34,506,655,18:59:03.642000
FSLR,FSLR150612C00052500,52.5,2015-06-12,Call,0.10,0.08,0.16,15,568,18:59:03.761000
FSLR,FSLR150612C00053000,53.0,2015-06-12,Call,0.12,0.05,0.10,6,299,18:59:03.880000
FSLR,FSLR150612C00053500,53.5,2015-06-12,Call,0.15,0.02,0.12,3,43,18:59:04.006000
FSLR,FSLR150612C00054000,54.0,2015-06-12,Call,0.12,0.03,0.18,2,68,18:59:04.137000
FSLR,FSLR150612C00054500,54.5,2015-06-12,Call,0.25,0.00,0.50,1,134,18:59:04.275000
FSLR,FSLR150612C00055000,55.0,2015-06-12,Call,0.25,0.00,0.29,1,82,18:59:04.351000
FSLR,FSLR150612C00055500,55.5,2015-06-12,Call,2.00,0.00,0.50,16,4,18:59:04.397000
FSLR,FSLR150612C00056000,56.0,2015-06-12,Call,1.04,0.00,0.50,6,41,18:59:04.449000
FSLR,FSLR150612C00056500,56.5,2015-06-12,Call,0.94,0.00,0.50,4,31,18:59:04.499000
FSLR,FSLR150612C00057000,57.0,2015-06-12,Call,0.29,0.00,0.39,1,90,18:59:04.550000
FSLR,FSLR150612C00057500,57.5,2015-06-12,Call,0.56,0.00,0.17,163,244,18:59:04.604000
FSLR,FSLR150612C00058000,58.0,2015-06-12,Call,0.03,0.00,0.18,2,11,18:59:04.661000
FSLR,FSLR150612C00058500,58.5,2015-06-12,Call,0.05,0.00,0.14,1,18,18:59:04.719000
FSLR,FSLR150612C00059000,59.0,2015-06-12,Call,0.48,0.00,0.10,6,20,18:59:04.780000
FSLR,FSLR150612C00059500,59.5,2015-06-12,Call,0.04,0.00,0.07,3,3,18:59:04.843000
FSLR,FSLR150612C00060000,60.0,2015-06-12,Call,0.03,0.00,0.05,5,87,18:59:04.907000
FSLR,FSLR150612C00060500,60.5,2015-06-12,Call,0.01,0.00,0.05,1,14,18:59:04.975000
