StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
FSLR,FSLR150612C00045000,45.0,2015-06-12,Call,4.45,0.00,0.00,12,38,08:38
FSLR,FSLR150612C00045500,45.5,2015-06-12,Call,5.55,0.00,0.00,4,4,08:38
FSLR,FSLR150612C00046000,46.0,2015-06-12,Call,5.05,0.00,0.00,9,9,08:38
FSLR,FSLR150612C00046500,46.5,2015-06-12,Call,3.55,0.00,0.00,1,5,08:38
FSLR,FSLR150612C00047000,47.0,2015-06-12,Call,4.30,0.00,0.00,1,1,08:38
FSLR,FSLR150612C00047500,47.5,2015-06-12,Call,3.95,0.00,0.00,2,2,08:38
FSLR,FSLR150612C00048000,48.0,2015-06-12,Call,2.32,0.00,0.00,9,38,08:38
FSLR,FSLR150612C00048500,48.5,2015-06-12,Call,2.40,0.00,0.00,1,3,08:38
FSLR,FSLR150612C00049000,49.0,2015-06-12,Call,2.20,0.00,0.00,370,351,08:38
FSLR,FSLR150612C00049500,49.5,2015-06-12,Call,1.26,0.00,0.00,868,735,08:38
FSLR,FSLR150612C00050000,50.0,2015-06-12,Call,0.79,0.00,0.00,71,1426,08:38
FSLR,FSLR150612C00050500,50.5,2015-06-12,Call,0.71,0.00,0.00,18,1001,08:38
FSLR,FSLR150612C00051000,51.0,2015-06-12,Call,0.35,0.00,0.00,272,924,08:38
FSLR,FSLR150612C00051500,51.5,2015-06-12,Call,0.25,0.00,0.00,249,740,08:38
FSLR,FSLR150612C00052000,52.0,2015-06-12,Call,0.24,0.00,0.00,506,655,08:38
FSLR,FSLR150612C00052500,52.5,2015-06-12,Call,0.10,0.00,0.00,15,573,08:38
FSLR,FSLR150612C00053000,53.0,2015-06-12,Call,0.12,0.00,0.00,6,305,08:38
FSLR,FSLR150612C00053500,53.5,2015-06-12,Call,0.15,0.00,0.00,3,43,08:38
FSLR,FSLR150612C00054000,54.0,2015-06-12,Call,0.12,0.00,0.00,2,68,08:38
FSLR,FSLR150612C00054500,54.5,2015-06-12,Call,0.25,0.00,0.00,1,133,08:38
FSLR,FSLR150612C00055000,55.0,2015-06-12,Call,0.25,0.00,0.00,1,81,08:38
FSLR,FSLR150612C00055500,55.5,2015-06-12,Call,2.00,0.00,0.00,16,4,08:38
FSLR,FSLR150612C00056000,56.0,2015-06-12,Call,1.04,0.00,0.00,6,41,08:38
FSLR,FSLR150612C00056500,56.5,2015-06-12,Call,0.94,0.00,0.00,4,31,08:38
