StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
MOS,MOS150612C00037000,37.0,2015-06-12,Call,8.50,7.50,8.05,1,0,12:37
MOS,MOS150612C00037500,37.5,2015-06-12,Call,8.00,7.00,7.55,1,0,12:37
MOS,MOS150612C00038000,38.0,2015-06-12,Call,7.45,6.50,7.05,1,0,12:37
MOS,MOS150612C00038500,38.5,2015-06-12,Call,7.00,6.00,6.55,1,0,12:37
MOS,MOS150612C00040500,40.5,2015-06-12,Call,4.95,4.00,4.55,1,0,12:37
MOS,MOS150612C00041500,41.5,2015-06-12,Call,3.75,3.00,3.55,6,0,12:37
MOS,MOS150612C00042500,42.5,2015-06-12,Call,4.45,2.00,2.52,1,0,12:37
MOS,MOS150612C00043000,43.0,2015-06-12,Call,1.65,1.50,2.02,8,8,12:37
MOS,MOS150612C00043500,43.5,2015-06-12,Call,1.64,1.01,1.53,3,3,12:37
MOS,MOS150612C00044000,44.0,2015-06-12,Call,0.74,0.51,1.03,3,59,12:37
MOS,MOS150612C00044500,44.5,2015-06-12,Call,0.39,0.11,0.55,5,39,12:37
MOS,MOS150612C00045000,45.0,2015-06-12,Call,0.10,0.00,0.08,33,147,12:37
MOS,MOS150612C00045500,45.5,2015-06-12,Call,0.01,0.00,0.03,20,190,12:37
MOS,MOS150612C00046000,46.0,2015-06-12,Call,0.09,0.00,0.11,3,103,12:37
MOS,MOS150612C00046500,46.5,2015-06-12,Call,0.06,0.00,0.14,3,69,12:37
MOS,MOS150612C00047000,47.0,2015-06-12,Call,0.07,0.00,0.14,29,60,12:37
MOS,MOS150612C00047500,47.5,2015-06-12,Call,0.06,0.00,0.13,2,66,12:37
MOS,MOS150612C00048000,48.0,2015-06-12,Call,0.06,0.00,0.15,4,13,12:37
MOS,MOS150612C00048500,48.5,2015-06-12,Call,0.18,0.00,0.14,55,57,12:37
MOS,MOS150612C00049000,49.0,2015-06-12,Call,0.13,0.00,0.14,2,2,12:37
